852605.11	987010.625	1886
852625.11	987010.625	1866
852645.11	987010.625	1865
852665.11	987010.625	1847
852685.11	987010.625	1827
852705.11	987010.625	1818
852725.11	987010.625	1798
852745.11	987010.625	1791
852765.11	987010.625	1779
852785.11	987010.625	1766
852805.11	987010.625	1761
852825.11	987010.625	1752
852845.11	987010.625	1748
852865.11	987010.625	1744
852885.11	987010.625	1752
852905.11	987010.625	1762
852925.11	987010.625	1793
852945.11	987010.625	1809
852965.11	987010.625	1821
852985.11	987010.625	1835
853005.11	987010.625	1844
853025.11	987010.625	1870
853045.11	987010.625	1884
853065.11	987010.625	1916
853085.11	987010.625	1951
853105.11	987010.625	1964
853125.11	987010.625	1983
853145.11	987010.625	1991
853165.11	987010.625	2005
853185.11	987010.625	2019
853205.11	987010.625	2026
853225.11	987010.625	2039
853245.11	987010.625	2045
853265.11	987010.625	2057
853285.11	987010.625	2067
853305.11	987010.625	2072
853325.11	987010.625	2081
853345.11	987010.625	2085
853365.11	987010.625	2092
853385.11	987010.625	2102
853405.11	987010.625	2109
853425.11	987010.625	2126
853445.11	987010.625	2134
853465.11	987010.625	2146
853485.11	987010.625	2156
853505.11	987010.625	2160
853525.11	987010.625	2170
853545.11	987010.625	2175
853565.11	987010.625	2182
853585.11	987010.625	2190
853605.11	987010.625	2195
853625.11	987010.625	2208
853645.11	987010.625	2215
853665.11	987010.625	2230
853685.11	987010.625	2242
853705.11	987010.625	2248
853725.11	987010.625	2261
853745.11	987010.625	2270
853765.11	987010.625	2294
853785.11	987010.625	2315
853805.11	987010.625	2321
853825.11	987010.625	2324
853845.11	987010.625	2323
853865.11	987010.625	2321
853885.11	987010.625	2316
853905.11	987010.625	2314
853925.11	987010.625	2310
853945.11	987010.625	2309
853965.11	987010.625	2308
853985.11	987010.625	2310
854005.11	987010.625	2310
854025.11	987010.625	2311
854045.11	987010.625	2312
854065.11	987010.625	2313
854085.11	987010.625	2312
854105.11	987010.625	2312
854125.11	987010.625	2314
854145.11	987010.625	2317
854165.11	987010.625	2324
854185.11	987010.625	2336
854205.11	987010.625	2343
854225.11	987010.625	2354
